position,season,weeks,mae,baseline_mae,rank_corr,baseline_rank_corr,top5_hit_rate,baseline_top5_hit_rate,top5_mean_points,slate_mean_points,rank_corr_edge,mae_edge,config
K,2023,18,3.593384525427566,3.573776890976806,0.12929512413863156,0.07680472668077398,0.6000000000000001,0.5,9.277777777777779,7.813370644942221,0.05249039745785758,-0.019607634450759637,K:ridge
K,2024,18,3.8347308889048453,3.8472019449166504,0.18937229175477976,0.1791760481475438,0.48888888888888893,0.5333333333333333,9.055555555555555,8.088130886000046,0.010196243607235977,0.012471056011805093,K:ridge
K,2025,18,3.7322292758685176,3.775717991731355,0.18802259154915082,0.10269060648846709,0.6111111111111112,0.4555555555555555,10.233333333333333,8.239785791424573,0.08533198506068373,0.043488715862837424,K:ridge
DST,2023,18,4.449336714959601,4.442509890342106,0.28752165377311356,0.2753456910236909,0.6000000000000001,0.5444444444444445,7.766666666666666,5.90462327024827,0.012175962749422675,-0.006826824617494509,DST:ridge
DST,2024,18,4.191986420488696,4.256700347566956,0.36701962398887317,0.3403991839169795,0.7222222222222222,0.7333333333333333,8.822222222222223,5.074194902319903,0.02662044007189368,0.06471392707825974,DST:ridge
DST,2025,18,4.310369696883375,4.341179601878268,0.33414404978523377,0.3371339173709323,0.6666666666666666,0.5888888888888889,8.100000000000001,4.994832366707367,-0.0029898675856985246,0.03080990499489289,DST:ridge
