position,season,weeks,mae,baseline_mae,rank_corr,baseline_rank_corr,top5_hit_rate,baseline_top5_hit_rate,top5_mean_points,slate_mean_points,rank_corr_edge,mae_edge,config
K,2023,18,3.523894577687818,3.5005251106231534,0.1624373729756382,0.07833059128937528,0.7222222222222222,0.5666666666666667,10.022222222222222,8.18043195898637,0.08410678168626293,-0.023369467064664473,K:ridge:a30
K,2024,18,3.702622262453602,3.703856111000447,0.1877181729388413,0.1944159746713297,0.5555555555555556,0.6444444444444444,9.244444444444445,8.514545433118153,-0.0066978017324884065,0.0012338485468452731,K:ridge:a30
K,2025,18,3.631844929477843,3.666273898382747,0.1724137516258948,0.10998854798264222,0.6444444444444444,0.5333333333333333,10.333333333333334,8.628269768503902,0.06242520364325259,0.03442896890490399,K:ridge:a30
K,2023,18,3.523684160752752,3.5005251106231534,0.1555348457998912,0.07833059128937528,0.7111111111111111,0.5666666666666667,10.11111111111111,8.18043195898637,0.07720425451051594,-0.023159050129598402,K:ridge:a100
K,2024,18,3.698799424625325,3.703856111000447,0.19939712778122118,0.1944159746713297,0.5333333333333334,0.6444444444444444,9.055555555555555,8.514545433118153,0.004981153109891473,0.0050566863751222435,K:ridge:a100
K,2025,18,3.6302790686030644,3.666273898382747,0.16955967525511392,0.10998854798264222,0.6333333333333333,0.5333333333333333,10.077777777777778,8.628269768503902,0.0595711272724717,0.035994829779682824,K:ridge:a100
K,2023,18,3.522949383964726,3.5005251106231534,0.15666945329314463,0.07833059128937528,0.7,0.5666666666666667,10.177777777777777,8.18043195898637,0.07833886200376936,-0.022424273341572487,K:ridge:a300
K,2024,18,3.696415660766341,3.703856111000447,0.19908428030358247,0.1944159746713297,0.5444444444444445,0.6444444444444444,9.100000000000001,8.514545433118153,0.004668305632252762,0.007440450234105889,K:ridge:a300
K,2025,18,3.62777301916049,3.666273898382747,0.1686004925134082,0.10998854798264222,0.6333333333333333,0.5333333333333333,9.911111111111111,8.628269768503902,0.05861194453076597,0.0385008792222572,K:ridge:a300
K,2023,18,3.5216783061131878,3.5005251106231534,0.1450583956328172,0.07833059128937528,0.6666666666666666,0.5666666666666667,9.755555555555555,8.18043195898637,0.06672780434344192,-0.02115319549003436,K:ridge:a1000
K,2024,18,3.6946427203897354,3.703856111000447,0.1980051605496657,0.1944159746713297,0.5333333333333333,0.6444444444444444,9.0,8.514545433118153,0.003589185878335982,0.009213390610711691,K:ridge:a1000
K,2025,18,3.6255252228009187,3.666273898382747,0.17839209991563357,0.10998854798264222,0.6555555555555556,0.5333333333333333,10.288888888888888,8.628269768503902,0.06840355193299134,0.040748675581828486,K:ridge:a1000
