position,season,weeks,mae,baseline_mae,rank_corr,baseline_rank_corr,top5_hit_rate,baseline_top5_hit_rate,top5_mean_points,slate_mean_points,rank_corr_edge,mae_edge,config
K,2023,18,3.5989789583501164,3.5760628934367364,0.13922222374548557,0.07679444364065419,0.6111111111111112,0.48888888888888893,9.616666666666667,7.867234186206308,0.06242778010483138,-0.02291606491337994,K:ridge:a30
K,2024,18,3.8238202647773445,3.830821232782781,0.18867119070655985,0.18568199285384562,0.5,0.5333333333333333,9.022222222222222,8.143580101239653,0.0029891978527142316,0.00700096800543637,K:ridge:a30
K,2025,18,3.7420591888464494,3.778109064594325,0.1543361279518033,0.10241440660036555,0.5444444444444445,0.4555555555555555,9.827777777777778,8.310647437112992,0.051921721351437744,0.03604987574787577,K:ridge:a30
K,2023,18,3.598726810768316,3.5760628934367364,0.14081308274340168,0.07679444364065419,0.6000000000000001,0.48888888888888893,9.577777777777778,7.867234186206308,0.0640186391027475,-0.022663917331579686,K:ridge:a100
K,2024,18,3.8244932106104232,3.830821232782781,0.19145654326149478,0.18568199285384562,0.5,0.5333333333333333,8.911111111111111,8.143580101239653,0.005774550407649154,0.006328022172357617,K:ridge:a100
K,2025,18,3.7411924794184324,3.778109064594325,0.15946480898184565,0.10241440660036555,0.5666666666666667,0.4555555555555555,9.911111111111111,8.310647437112992,0.0570504023814801,0.0369165851758928,K:ridge:a100
K,2023,18,3.595557178063171,3.5760628934367364,0.1374982911495791,0.07679444364065419,0.5888888888888889,0.48888888888888893,9.427777777777777,7.867234186206308,0.06070384750892491,-0.019494284626434766,K:ridge:a300
K,2024,18,3.8256431909288326,3.830821232782781,0.18936221950180415,0.18568199285384562,0.48888888888888893,0.5333333333333333,8.866666666666667,8.143580101239653,0.003680226647958529,0.005178041853948212,K:ridge:a300
K,2025,18,3.7388035193536706,3.778109064594325,0.15847533924284585,0.10241440660036555,0.5333333333333333,0.4555555555555555,9.422222222222222,8.310647437112992,0.0560609326424803,0.03930554524065455,K:ridge:a300
K,2023,18,3.5913896182305933,3.5760628934367364,0.1316603566260124,0.07679444364065419,0.5666666666666668,0.48888888888888893,9.238888888888889,7.867234186206308,0.0548659129853582,-0.015326724793856883,K:ridge:a1000
